ID,Category
"Laprise or LaPrise is a French Canadian[1][2][3] surname which is most prevalent in Canada,[4] but can also be found to a lesser degree in the United States.[4]
It consists of the French feminine singular article la followed by the past participle of prendre (to take, to seize), prise, and may be translated into English as ""the catch"" or ""the taking"".[1] As a toponymic surname it may have been connected to newly cultivated land claimed from the wilderness[5] or could have denoted as an occupational surname a hunter, trapper or soldier.[1]",English
"
This is a list of Members of the United Kingdom House of Lords who were born, live or lived in Northern Ireland.",English
"
M. S. Sivasankariah (22 May 1927 – 29 December 2009) was an Indian cricket umpire. He stood in three Test matches between 1975 and 1977.[1]",English
"
Rudolf Keyper (25 October 1880 – 28 February 1973) was a Danish equestrian.[1] He competed in the individual dressage event at the 1912 Summer Olympics.[2]",English
"Coordinates: 34.862496°N 111.818459°W
The Thonotosassa Branch Library is an 8,000 square foot library that serves the community in Thonotosassa as well as the rest of northeastern Hillsborough County. This rural Hillsborough County Branch provides easy access to library materials in physical and electronic format as well as Internet access, programs and technology classes for all ages. The Thonotosassa Branch library is a part of the Tampa-Hillsborough County Public Library System.[1]",English
"The Trudoviks (Russian: Трудова́я гру́ппа, Trudovaya gruppa; literally ""Labour Group"") were a social-democratic political party of Russia in early 20th century.
The Trudoviks were a breakaway of the Socialist Revolutionary Party faction as they defied the party's stance by standing in the First Duma.[1] They were founded and led by Aleksei Aladin,[2] a Russian soldier. He was elected to the First Duma in 1906 but spent his later years in exile in the United Kingdom. Aladin was born in Simbirsk in 1873 to a peasant family and attended the same gymnasium as Lenin and Alexander Kerensky.",English
"László Hingt is a Hungarian sprint canoer who competed in the early 1970s. He won a silver medal in the C-2 10000 m event at the 1971 ICF Canoe Sprint World Championships in Belgrade.
",English
"Fairview is an extinct town in Chattooga County, in the U.S. state of Georgia.[1]
The community was named from scenic and ""fair"" views of nearby mountains.[2]",English
"Gábor Hatos (born October 3, 1983 in Eger) is a male freestyle wrestler from Hungary.
He originally placed fifth at the 2012 Summer Olympics in the men's 74 kg category but was promoted to the bronze medal on November 7, 2012 after the disqualification of Uzbek Soslan Tigiev for doping.[1]",English
"Roger Minott Sherman (May 22, 1773 – December 30, 1844) was a lawyer and politician from Fairfield County, Connecticut.
Roger Minott Sherman, born May 22, 1773, was the youngest of six children of Rev. Josiah Sherman who was a brother of the distinguished Roger Sherman. His mother was Martha Minott, the daughter of James and Elizabeth (Merrick) Minott[a] of Concord, Massachusetts. Roger Minott Sherman's eldest sister Elizabeth Sherman married John Mitchell, they were the parents of US Representative Henry Mitchell (New York politician). His other sister Martha Sherman married the Rev. Justus Mitchell, and they were the great-grandparents of US Senator Chauncey Depew.",English
"Microsoft Press is the publishing arm of Microsoft, usually releasing books dealing with various current Microsoft technologies. Microsoft Press' first introduced books were The Apple Macintosh Book by Cary Lu and Exploring the IBM PCjr Home Computer by Peter Norton in 1984 at the West Coast Computer Faire.[1] The publisher has gone on to release books by other recognizable authors such as Charles Petzold, Steve McConnell, Mark Russinovich and Jeffrey Richter.
Following a deal signed in 2009, O'Reilly Media became the official distributor of Microsoft Press books. In 2014, the distributor was changed to Pearson. In July 2016, Microsoft Press editorial staff was laid off.[2]",English
"
Idia aemula, the common idia, powdered snout or waved tabby, is a litter moth of the family Erebidae. The species was first described by Jacob Hübner in 1813. It is found from Canada south to Florida and Texas. It has been reported in the Palearctic.",English
"Arthur Locker (1828–1893) was an English novelist and journalist.
The second son of Edward Hawke Locker, he was born at Greenwich on 2 July 1828; Frederick Locker-Lampson was his brother. He was educated at Charterhouse School and Pembroke College, Oxford, where he matriculated on 6 May 1847, and graduated B.A. in 1851.[1]",English
"
Jean Baptiste Joseph, chevalier Delambre (19 September 1749 – 19 August 1822) was a French mathematician, astronomer, historian of astronomy, and geodesist.[1][2] He was also director of the Paris Observatory, and author of well-known books on the history of astronomy from ancient times to the 18th century.",English
"
Yasmina Laaroussi (Arabic: ياسمينة لعروسي;[3] born 15 February 1994) is a Swiss-born Moroccan footballer who plays as a midfielder for Swiss Women's Super League club Servette FC and the Morocco women's national team.",English
"Raymundo Rodríguez (15 March 1969 – 8 July 2018) was a Mexican luchador or professional wrestler best known under the ring name Piratita Morgan. He also worked as an enmascarado, or masked wrestler, under the names Battalion, Payasito Rojo and Coquito Rojo. Rodríguez was one of the first wrestlers to compete in the Mini-Estrella (""Mini Star) division in Mexico, a division for both dwarf wrestlers and wrestlers of short stature, often portraying a smaller version of a regular-sized wrestler. Rodríguez performed as a shorter version of Pirata Morgan from the beginning of his career to his death. Rodríguez's brother was also a Mini-Estrella, known under the ring name Espantito. He is not related to the wrestler known as Piratita Morgan Jr.
For the majority of his career, Rodríguez worked as a rudo, or heel, portraying one of the bad guys in the ring. He had a long-running rivalry with Mascarita Sagrada in which the two competed in several Luchas de Apuestas (""bet matches"") throughout the years, each ending with a loss for Rodríguez. As a result, he had to have his hair shaved off. His most high-profile match was the main event of Triplemanía III-A, the first and only time that the Mini-Estrellas were given the main event spot at a Triplemanía show. Throughout his career Rodríguez worked for every major wrestling promotion in Mexico, in addition to working for the World Wrestling Federation and Total Nonstop Action Wrestling in the US, as well as for promotions in Japan and Puerto Rico.",English
"Major General Heinrich Christoph Karl Herrmann, Reichsgraf von Wylich und Lottum (8 January 1773 in Cleves – night of 7/8 February 1830, in Berlin) was a Prussian officer who fought in the Napoleonic Wars including the Waterloo Campaign in 1815.[1][a]
",English
"
The Assassin (Chinese: 刺客聶隱娘; pinyin: Cìkè Niè Yǐnniáng; or: The Assassin Niè Yǐnniáng) is a 2015 wuxia film directed by Taiwanese director Hou Hsiao-hsien. A Taiwan/China/Hong Kong co-production,[1][7] it was an official selection in the main competition section at the 2015 Cannes Film Festival.[8][9] At Cannes, Hou won the award for Best Director.[10][11] It was released in China and Hong Kong on 27 August, and a day later in Taiwan on 28 August 2015.[12] It was selected as the Taiwanese entry for the Best Foreign Language Film at the 88th Academy Awards but it was not nominated.[13][14] The international film magazine Sight & Sound named it the best film of 2015.[15]",English
"Je Jong-geel (Korean: 제종길; Hanja: 諸淙吉; born March 21, 1955) is a South Korean politician. He was a member of the 17th National Assembly and the mayor of Ansan from 2014 to 2018.[1][2] He is a member of the Chirwon Je clan.[1]
",English
"Akiyama (秋山村, Akiyama-mura) was a village located in Minamitsuru District, Yamanashi Prefecture, Japan.
As of 2003, the village had an estimated population of 2,306 and a density of 51.09 persons per km². The total area was 45.14 km².",English
"
Crematogaster marioni is a species of ant in the family Formicidae.[1][2][3][4]",English
"Verkhovna Rada of Crimea or the Supreme Council of Crimea, officially the Supreme Council of the Autonomous Republic of Crimea (Ukrainian: Верховна Рада Автономної Республіки Крим, romanized: Verkhovna Rada Avtonomnoï Respubliky Krym; Russian: Верховный Совет Автономной Республики Крым, romanized: Verkhovny Sovet Avtonomnoy Respubliki Krym; Crimean Tatar: Qırım Muhtar Cumhuriyetiniñ Yuqarı Radası/Къырым Мухтар Джумхуриетининъ Юкъары Радасы) was a Ukrainian legislative body of the Autonomous Republic of Crimea before the annexation of Crimea by the Russian Federation in 2014.
The last election of parliament took place on 31 October 2010 (see 2010 Crimean parliamentary election) and were won by the Party of Regions and the Communist Party of Ukraine.",English
"Nimbus is the name given to seven different Thoroughbred racehorses as of 2007.
",English
"Juanita N. Holmes is an American police officer and administrator and is the Chief of the Patrol Bureau in the NYPD. In this capacity, she oversees approximately 22,000 uniformed police officers in New York City and is the first black woman to hold this command. She is the highest-ranking female in the NYPD [1][2]
The Patrol Services Bureau is the largest and most visible bureau in the NYPD, overseeing much of the department's uniformed officers on patrol.[3][4][5]",English
"
Take the High Road (renamed High Road from 1994 to 2003) was a Scottish soap opera produced by Scottish Television, which started in February 1980 as an ITV network daytime programme, and was broadcast until 2003. It was set in the fictional village of Glendarroch, and exteriors were filmed in the real-life village of Luss on the banks of Loch Lomond.",English
"Earl Emerson (born 1948 in Tacoma, Washington, United States) is an American mystery novelist and author.
Emerson is the author of two series of mystery novels, the Mac Fontana series and the Thomas Black detective series, as well as several thrillers.[1][2] He received the ""Best Private Eye Novel"" Shamus Award from the Private Eye Writers of America in 1986 for Poverty Bay and an Edgar award nomination for his work.[3] Emerson also works as a lieutenant with the Seattle Fire Department.[1]",English
"Shadows over Camelot is an Arthurian-themed board game designed by Serge Laget and Bruno Cathala, illustrated by Julien Delval and Cyrille Daujean. The game was unveiled by the publishers Days of Wonder at the 2005 American International Toy Fair and was more widely released in May and June 2005. The game was also published in French as Les Chevaliers de la Table Ronde and in German as Schatten über Camelot. In 2008, an expansion for Shadows over Camelot was released titled Merlin's Company.
Players take on the roles of Knights of the Round Table (with the possibility that one player takes the role of traitor) and play the game by fulfilling quests. The game is cooperative in that a shared victory or loss is possible in the absence of a traitor, and a traitor does not benefit by revealing himself too early. The endgame with a revealed traitor is, by contrast, a competitive game of asymmetric teams.",English
"The Very Rev John Plumptre, DD was an Anglican dean [1] and author [2] in the early 19th century.
Born on 11 March 1754, he was educated at Eton [3] and King's College, Cambridge (elected Fellow, 1776). From 1778 until his death on 26 November 1825 he was Vicar of Stone, Worcestershire; to which he added, in 1790, the living at Wichenford; and, in 1808, the office of Dean of Gloucester.",English
"Seydou Junior Haïdara (born March 5, 1989) is a former professional Canadian football wide receiver. After the 2012 CIS season, he was ranked as the 11th best player in the Canadian Football League’s Amateur Scouting Bureau final rankings for players eligible in the 2013 CFL Draft, and seventh by players in Canadian Interuniversity Sport.[2] He was drafted in the second round and 12th overall by the BC Lions in the 2013 CFL Draft. He played CIS football with the Laval Rouge et Or.[3]
Haïdara was drafted by the BC Lions of the Canadian Football League, with the 3rd pick of the 2nd round (12th overall) of the 2013 CFL Draft. He was signed by the Lions on May 27, 2013.[4]",English
"
Altrincham Interchange is a transport hub in Altrincham, Greater Manchester, England. It consists of a bus station on Stamford New Road, a Northern Trains-operated heavy rail station on the Mid-Cheshire Line, and a light rail stop which forms the terminus of Manchester Metrolink's Altrincham line. The original heavy rail element of the station was opened by the Manchester, South Junction and Altrincham Railway as Altrincham and Bowdon railway station in April 1881, changing to Altrincham railway station in May 1974. The Metrolink element opened in June 1992. The Interchange underwent a complete redevelopment, at a cost of £19 million, starting in mid-July 2013. The new bus station opened officially on 7 December 2014.",English
"Store Rauddalseggi is a mountain in the municipality of Luster in Sogn og Fjordane, Norway. It is 2,168 metres (7,113 ft) high and is the 70th highest mountain in Norway. Store Rauddalseggi is the highest mountain in the Rauddalseggi area. The first ascent of Store Rauddalseggi was on 17 August 1906 by Ferdinand Schjelderup and Agnes Jakhelln.[1][2][3]
",English
"Great Repeal Bill may refer to two items of United Kingdom legislation:
",English
"Wu Hsiao-lin (Chinese: 巫孝霖; pinyin: Wū Xiàolín; born 4 February 1995) is a badminton player from Taiwan.[1] In 2012, he won the silver medal at the Asian Junior Championships in the boys' doubles event partnered with Wang Chi-lin.[2] Teamed-up with Lin Chia-yu, they reach the Vietnam Open finals. They failed to win the title after being beaten by the Indonesian pair in three sets.[3] He and Lin won the men's doubles title at the Malaysia International tournament in 2014 and 2015. They also won the 2015 USA International tournament in the men's doubles event.
Boys' doubles",English
"The RML 6.3-inch howitzer was a British rifled muzzle-loading ""siege"" or ""position"" howitzer/mortar proposed in 1874 and finally introduced in 1878 as a lighter version of the successful 8-inch howitzer that could be carried by the existing 40-pounder gun carriage.[4]
By 1880 the RML 6.3-inch was superseded by a longer 6.6-inch howitzer with higher muzzle velocity.[5]",English
"
Care is a single British television crime drama film, written by former Tomorrow's World presenter Kieran Prendiville, that first broadcast on BBC1 on 8 October 2000.[1] Directed by Antonia Bird, Care follows Davey Younger (Steven Mackintosh), a former childhood resident of Glenavon care home, who is forced to dig up his past when a local councillor, Tony Collins (Richard Harrington), orders an investigation into reported historical sex abuse, which took place at the home during Davey's years as a resident, following evidence unearthed by journalist Elaine Hughes (Jaye Griffiths).",English
"玄米茶 is an East Asian tea made from brown rice.
玄米茶 may refer to:",English
"Proofs from THE BOOK is a book of mathematical proofs by Martin Aigner and Günter M. Ziegler. The book is dedicated to the mathematician Paul Erdős, who often referred to ""The Book"" in which God keeps the most elegant proof of each mathematical theorem. During a lecture in 1985, Erdős said, ""You don't have to believe in God, but you should believe in The Book.""
Proofs from THE BOOK contains 32 sections (45 in the sixth edition), each devoted to one theorem but often containing multiple proofs and related results. It spans a broad range of mathematical fields: number theory, geometry, analysis, combinatorics and graph theory. Erdős himself made many suggestions for the book, but died before its publication. The book is illustrated by Karl Heinrich Hofmann [de]. It has gone through six editions in English, and has been translated into Persian, French, German, Hungarian, Italian, Japanese, Chinese, Polish, Portuguese, Korean, Turkish, Russian and Spanish.",English
"
Manjushree Technopack Limited is India's largest rigid plastic packaging company. MTL has a large converting capacity of over 1,75,000 MT of PET, HDPE, PP grade plastics in bottles, containers, and PET preforms per annum, with an estimated revenue of Rs.1,100 billion. It is based in Bangalore.[1]",English
"Hirabayashi (written: 平林) is a Japanese surname. Notable people with the surname include:
",English
"At least two ships of the Italian Navy have been named in honour of Alpino Attilo Bagnolini and may refer to either Alpino Bagnolini or Attilio Bagnolini
",English
"Tianjin Development Holdings Limited or Tianjin Development is a conglomerate engaged in container terminal operations, toll roads, water supply, electric utilities, pharmaceuticals and property development in Tianjin, China.[1] In 2005, Tianjin Development split Tianjin Port Development to be listed on the Hong Kong Stock Exchange.
On 22 July 2015, a subsidiary of Tianjin Development agreed to acquire from Tianjin Pharmaceutical Group Co., Ltd. 67% shares of the issued share capital of Thrive Leap Limited (隆騰有限公司) at a consideration of RMB 2.3 billion. Thrive Leap Limited indirectly holds approximately 51.36% of the total issued A shares in Tianjin Lisheng Pharmaceutical Co., Ltd. (天津力生製藥股份 有限公司), 65% equity interest in Tianjin Yiyao Printing Co., Ltd. (天津宜藥印務有限公司), and 100% equity interest Tianjin Institute of Pharmaceutical Research Co., Ltd. (天津藥物研究院有限公司).[2]",English
"60 Serpentis, also known as c Serpentis, is a single,[7] orange-hued star in Serpens Cauda, the eastern section of the constellation Serpens. It is faintly visible to the naked eye with an apparent visual magnitude of 5.38.[2] The distance to this star, as estimated from its annual parallax shift of 25.16±0.31 mas,[1] is approximately 130 light years. It is moving further from the Sun with a heliocentric radial velocity of +28 km/s,[4] having approached as close as 107 ly (32.7 pc) some 1.9 million years ago.[2]
This is an evolved K-type giant star with a stellar classification of K0 III,[3] having used up its core hydrogen and expanded. At the age of around 1.26 billion years, it currently belongs to the so-called ""red clump"", which indicates it is on the horizontal branch and is generating energy through helium fusion at its core.[8] The star has an estimated 1.8[5] times the mass of the Sun and 8[4] times the Sun's radius. It is radiating 35[4] times the Sun's luminosity from its enlarged photosphere at an effective temperature of about 5,059 K.[5]",English
"The Bhimsen Mandir or Bhimsen Temple is an 18th-century Hindu temple located in Nalamukh, Pokhara, Nepal. Bhimsen is the patron deity of people of Newari ethnicity.[1] The temple like many in Nepal has erotic carvings on the struts.[2][3]
",English
"
Bichali also spelled as Bichchali is a village near Gillesugur village in the Raichur taluk of Raichur district in the Indian state of Karnataka. Bichali is located on the banks of Tungabhadra river. Bichali in ancient times was known as Bhikshalaya.[1] Great Madhwa scholar and follower of Sri Raghavendra Swami, Sri Appanacharya was born in Bichali.[2]",English
"""Infestation"" is the second episode of the second season of the CBS drama series Under the Dome, and the fifteenth episode overall. The episode premiered on July 7, 2014.
The episode received mixed reviews from critics, though some commented positively calling it an improvement from the second-season premiere.",English
"The Warwick M-1 Tiny Champ is an American homebuilt aircraft that was designed by Bill Warwick and first flown on 1 May 1960.
The M-1 is a single engine, strut-braced, high wing, open cockpit, conventional landing gear-equipped aircraft. Doors and a rear window can be installed to create an enclosed cabin.[1] The design won outstanding aircraft design at the Experimental Aircraft Association Airshow in 1960.[2]",English
"
Royal Air Force Bushey Hall or more simply RAF Bushey Hall is a former Second World War non-flying Royal Air Force station located 6.7 miles (10.8 km) south west of St Albans, Hertfordshire and 8.8 miles (14.2 km) north east of Uxbridge, London, England.",English
"The Indian National Open Athletics Championships is an annual outdoor track and field competition, organised by the Athletics Federation of India, which serves as the national championship for the sport in India. It was first held as a national championship in 1961. The 1994 championship was an international event, as foreign athletes were invited to participate as part of the opening of the Jawaharlal Nehru Stadium.[1]
The event was held on a track from 2002 to 2004.",English
"The United States Indian Police (USIP) was organized in 1880 by John Q. Tufts the Indian Commissioner in Muskogee, Indian Territory, to police the Five Civilized Tribes. Their mission is to ""provide justice services and technical assistance to federally recognized Indian tribes.""[1] The USIP, after its founding in 1880, recruited many of their police officers from the ranks of the existing Indian Lighthorsemen. Unlike the Lighthorse who were under the direction of the individual tribes, the USIP was under the direction of the Indian agent assigned to the Union Agency. Many of the US Indian police officers were given Deputy U.S. Marshal commissions that allowed them to cross jurisdictional boundaries and also to arrest non-Indians.
The United States Indian Police Academy was originally established as the United States Indian Police Training and Research Center in Roswell, New Mexico on December 17, 1968. The program was administered by the Thiokol Chemical Corporation during the academy's period in Roswell and specialized to include the training of juvenile detention, criminal investigation, and supervisors. In 1973, the academy was relocated to Brigham City, Utah to be combined with the Division of Law and Order Research and Statistical Unit from Pierre, South Dakota. The result was the creation of the Center for U.S. Indian Police Training and Research. The academy relocated to Marana, Arizona in 1984. In 1993, it was relocated again to the Federal Law Enforcement Training Center grounds in Artesia, New Mexico, where it remains to this day.",English
"Maggert is a surname. Notable people with the surname include:
",English
"Yangtze River Ropeway is located at 151 Xinhua Rd., Yuzhong, Chongqing and 4 Shangxin St., Nanan, Chongqing, and dates back to 1986. It was listed in Batch II of Chongqing Cultural Relics Protected Buildings on December 15, 2009.[1]
",English
"Skookumchuck (/ˈskuːkəmtʃʌk/) is a Chinook Jargon term that is in common use in British Columbia English and occurs in Pacific Northwest English. Skookum means ""strong"" or ""powerful"", and ""chuck"" means water, so skookumchuck means ""rapids"" or ""whitewater"" (literally, ""strong water""), or fresh, healthy water.[1] It can mean any rapids, but in coastal usage refers to the powerful tidal rapids at the mouths of most of the major coastal inlets.
Places named Skookumchuck include:",English
"Kathleen Tacchi-Morris (24 January 1899 – 12 May 1993) was the founder of Women for World Disarmament (WFWD).[1] Tacchi-Morris was also a dancer[2] who appeared in several silent movies, including Men Are Not Gods (1936). Her father was the inventor Percy George Tacchi.[3]
Kathleen was born on 24 January 1899 Johannesburg, South Africa[4] and died in North Curry, Somerset on 12 May 1993. Shortly after her birth she and her family returned to England.",English
"
Gianluca Conte (Italian pronunciation: [dʒanˈluːka ˈkonte]; born 28 May 1965[citation needed]) is an Italian professional football assistant Manager and analyser and former player. He is an analyser and assistant manager for Italian club Inter Milan under his brother Antonio Conte.",English
"Mirror of My Mind is an album by Japanese guitarist Ryo Kawasaki that was released in 1979. It was recorded at Power Station Studios in New York City.[1]
",English
"Gilbert Genesta (born as Royden Joseph Gilbert Raison DelaGenesta; March 29, 1878 – November 9, 1930) was an American escape artist and magician who died while performing a water barrel escape.[1]
He first became interested in magic sometime about 1890 when he witnessed a school house show in Foxburg, Pennsylvania. He went on to perform professionally as Genesta, the wizard of wonders.",English
"The 2001 Japanese Formula 3 Championship was the 23rd edition of the Japanese Formula 3 Championship. It began on 25 March at Suzuka and ended on 21 October at Motegi.[1] French driver Benoît Tréluyer took the championship title by winning 15 of 19 races.[2]
",English
"
The International Open Data Charter is a set of principles and best practices for the release of governmental open data. The charter was formally adopted by seventeen governments of countries, states and cities at the Open Government Partnership Global Summit in Mexico in October 2015.[1] The original signatories included the governments of Chile, Guatemala, France, Italy, Mexico, Philippines, South Korea, the United Kingdom and Uruguay, the cities of Buenos Aires, Minatitlán, Puebla, Veracruz, Montevideo, Reynosa, and the Mexican states of Morelos and Xalapa.[2] As of 2020, 74 national and local governments are signatories.[3]",English
"
Cneorum is a genus of flowering plants in the rue or citrus family Rutaceae. The two species are native to Europe and the Canary Islands.[1]",English
"
Edith Lilla Holmes (9 March 1893 – 26 August 1973) was an Australian artist active in Tasmania.",English
"Trident 2 may refer to:
",English
"The induction equation, one of the magnetohydrodynamic equations, is a partial differential equation that relates the magnetic field and velocity of an electrically conductive fluid such as a plasma. It can be derived from Maxwell's equations and Ohm's law, and plays a major role in plasma physics and astrophysics, especially in dynamo theory.
Maxwell's equations describing the Faraday's and Ampere's laws read",English
"The Chairman of the Government of Adjara is the head of the government of the autonomous republic of Adjara. The post was created in 1991.
",English
"Carlo Margottini (F 592) is a Carlo Bergamini-class frigate of the Italian Navy. Which in turn were developed by the FREMM multipurpose frigate program.[1]
Planning assumptions for the Italian Navy are 10 FREMM-IT (4 ASW variants and 6 GP variants) at a cost of €5.9 billion. FREMM-IT will replace the Maestrale and Lupo-class frigates in service with the Italian Navy. In the 2013 Italian budget, the Italian government laid out the necessary financing for two more GP variants (FREMM-IT 7 & 8) and the contract was awarded in September 2013. On 15 April 2015, the Italian Parliament confirmed the deal between OCCAR and Orizzonte Sistemi Navali Spa (Fincantieri and Finmeccanica, since 2017 Leonardo) to begin building units 9 and 10, for 764 million Euros.",English
"Ryūōkyō Station (龍王峡駅, Ryūōkyō-eki) is a railway station on the Yagan Railway Aizu Kinugawa Line in the city of Nikkō, Tochigi, Japan, operated by the Yagan Railway.
Ryūōkyō Station is served by the Yagan Railway Aizu Kinugawa Line and is located 1.7 kilometers from the starting point of the line at Shin-Fujiwara Station.",English
"The 1921 Bacharach Giants baseball team, sometimes known as the Atlantic City Bacharach Giants, represented the Bacharach Giants as an independent during the 1921 baseball season. The team compiled a 44–36–2 (.549) and was recognized as the Eastern independent champion of Negro league baseball. Dick Redding was the team's manager and pitcher. The team played its home games at Inlet Park in Atlantic City, New Jersey.[1]
The team's leading batters were:",English
