ID,Category
"Zak van Biljon uses infrared photography to create his landscape photos. Trees and meadows appear in his images in brilliant, but altered, colors. He's out to reveal nature's beauty in an unaccustomed, modern way.",English
"Soft inside and crispy outside is how the world knows the baguette, or French bread. The thin loafs of white bread are an essential part of French culture. What defines the original? What’s the best way to bake it?",English
"In Scandinavia, a unique singing technique has evolved over the ages to summon cows back home from the fields in the evening: kulning. The centuries-old tradition is also kept alive in concerts.",English
A gushing geyser and a little version of the Golden Gate Bridge are two things that most people wouldn’t expect to find in Germany. Travel journalist Christoph Karrasch has collected them in a new book.,English
"For the British carmaker Paul Bacon, reality is just too boring. He builds vehicles inspired by the fantasy world. Handmade fairy tale coaches and works of art you can drive. ",English
"Enjoy 'Koesister' - a deep-fried, syrupy-sweet specialty from Cape Town, South Africa.",English
"A third Covid-19 wave hits Africa hard amid a shortage of vaccines, we visit a Kenyan hospital at the heart of the struggle.
As France ends its military mission against terrorists in West Africa, a new investigation alleges Paris is not open about civilian casualties.
The children in Lagos, Nigeria whose education could change their communities' fortunes.",English
German Economy Minister Peter Altmaier believes that the dispute about steel and aluminum tariffs can be sorted out quickly with the US. Simone Menne from AmCham Germany explains just how realistic such a view may be.,English
EU leaders have wrapped up a two-day summit in Brussels. The meeting was full of disagreement over how to advance communication between the bloc and Russia – and what to do about a new law in Hungary targeting the LGBTQ community.,English
"The withdrawal leaves many Afghans who for years worked closely with US troops on the ground in limbo. Thousands of former contractors and interpreters now fear for their lives, as the Taliban is regaining control of several districts. ",English
Using blockchain tech to make companies responsible - EU &amp; US could settle trade dispute by year's end - Black Pound Day to celebrate first birthday,English
COVID cases surge in Zambia +++ Ethiopia elections update +++ African Roots: Cameroon's inventive king +++ 2021 FIA World Rally in Kenya,English
We ask our science correspondent Derrick Williams how many doses those who have recovered from Covid-19 should have.,English
Jamaica is home to relaxed reggae beats and beautiful beaches. But the island has a dark side: young people especially lack jobs and opportunities and the murder rate is one of the world's highest. Many wonder if dancehall music plays a role.,English
"Cooking show presenter Nazrudin Rahman from Kuala Lumpur is shocked at how much microplastic lurks in our environment — even in the food we eat. It's estimated that we consume 5 grams of microplastics a week, about as much as a credit card.",English
"Jamaica's relaxed reggae beats are world-famous. But now, the dancehall genre has conquered the island, and it glorifies violence. Also on the show: the proliferation of microplastics - and how they end up in our food.",English
A ferocious third coronavirus wave is sweeping across Africa. More than a dozen nations are reporting increasing levels of infections. The rolling average for the number of cases has tripled since May.,English
"What do our bodies need to stay fit and active? Is a balanced diet enough? Are there magic remedies? Well, for years the market for dietary supplements has been growing. But do we need pills to stay healthy?",English
"Our human bones make us artists of movement and let us carry heavy loads. Everyone knows that. But they also perform other important tasks that may not be so obvious, everything from blood formation to protecting organs. ",English
"Some weight loss pills claim their products help people ""lose weight at record speed."" At first glance, the appetite suppressants may seem harmless, especially when advertised as purely herbal. But what's really in them? ",English
"Many people are looking to strengthen their immune systems during the pandemic. Some have argued that vitamin D can help fight off COVID-19, but studies don't back this up. And too much vitamin D can even be harmful. ",English
"Human beings are complex creatures. To be resilient and stay strong our bodies need vitamins and minerals. Among other things, they help our immune system and muscles stay in good shape throughout our lives. ",English
"Taliban militants have started moving into and claiming new territory ever since the US troop pullout began in May. Many of these areas encircle major cities, such as Ghazni, a location of strategic importance between the capital, Kabul, and Kandahar. ",English
"The Games are the highlight of every Olympic athlete's career. How are they dealing with the 2020 Games in Tokyo being postponed by a year? With so much in doubt, what effect has it had on their training schedules, their preparation and their lives? ",English
Adriana Neligan from the German Economic Institute takes a look at what difference a supply chain law will make that was passed by the German upper house on Friday. Will it help the environment and reduce child labor?,English
Human fossils unearthed in Israel add new layers to our evolution. A look at the famous fossils that shed light on our ancestors and their creative pursuits. ,English
"Is it fair to say you've been outraged by some of the risky things you've seen people doing during this pandemic? And is it also fair to say that maybe (just maybe) your assessment of how risky those things were.... was very, very biased? Also, why are so many of us so anxious about life going back to normal?",English
A growing global campaign is approaching a landmark in the fight against climate change: holding individuals responsible for mass environmental harm. ,English
"On this Shift Special, German bitcoin expert Lina Seiche meets start-up founders in the Philippines. With the aid of blockchain technology, they aim to give people without bank accounts access to the financial system. ",English
Former militiamen are returning to arms as Taliban forces gain ground in northern Afghanistan. The government has launched what it called National Mobilization and armed local volunteers.,English
Using blockchain tech to make companies responsible - Black Pound Day to celebrate first birthday ,English
"New Icelandic airline Play has launched commercial flights on routes to Europe and North America, seeking advantages from available slots and cheap planes. CEO Birger Jonsson expects strong demand quick growth.",English
"It's sparked celebrations, caused controversy, forced tears and lost elections. As Germany travel to Wembley to face England in the Euro 2020 round of 16 on Tuesday, we look back at some of the fixture's best moments.",English
New regulation requires German companies to prove their supply chains are free of human rights abuses. Critics say it's too much bureaucracy and disadvantages companies from here. Others see a benefits in it.,English
The African Union wants to vaccinate 60% of the continent's population by 2022. DW speaks with World Bank President David Malpass about how it aims to help AU to purchase and deploy vaccines for up to 400 million people.,English
"Climate change is now causing soil erosion and parched fields in Germany. Maria Giménez is an artist who also manages a farm. She's turned to agroforestry, where trees are planted on farmland to help store water in the ground.",English
"In 2004, Wangari Maathai became the first environmentalist to win the Nobel Peace Prize. The woman who launched the Green Belt Movement was convinced of the value of planting trees to conserve the environment and secure people's livelihoods.",English
People who buy products certified by the Forest Stewardship Council assume they are helping the environment. But FSC criteria also allow for the felling of old-growth forests. Conservation groups say customers are being misled.,English
This week's viewer question comes from Veronica Vellejo in Mexico: Why is loving yourself so important for well-being?,English
"Breeding laboratory mice for research purposes benefits humans -- but also poses a moral dilemma. Are there alternatives? Also: the benefits of loving yourself, and the story of conservation heroine Wangari Maathai.",English
"Rescue teams are searching for nearly 100 people still missing after part of a 12-storey apartment building near Miami, Florida, collapsed in the middle of the night. US President Joe Biden has declared a state of emergency in Florida and authorized federal assistance for the relief effort.",English
"Western governments hit Belarus with a raft of punitive sanctions - EU opens up its borders again to Americans - The German army inaugurates its first rabbi since before the Holocaust - How a Food Bank has sustained the holiday island of Ibiza - Pardons for Catalan separatists - Turkey’s opposition under pressure - Germany’s female gymnasts talk about their Olympics dreams, and dress - And more..
",English
"An alarming rise in COVID-19 cases driven by the spread of the delta variant in western Kenya is leading to a shortage of medical oxygen. DW's Mariel Müller visited a hospital in Kisumu County, where the shortage of oxygen and high-flow oxygen devices is making it difficult to save patients.",English
"In Uganda, people living with HIV and the medical community point to prejudice as a major barrier to the well-being of those infected. Segregation of HIV-positive people is common because people are afraid of contracting the virus. Despite the country's progress in fighting HIV in Uganda, the challenges are still immense.",English
Using blockchain tech to make companies responsible - Black Pound Day to celebrate first birthday - Inflation: Flash in the pan or permanent shift?,English
"The battle for the rights of LGBTQI+ people began over half a century ago in New York City. A police raid on a gay bar, the Stonewall Inn, in June 1969, triggered days of rioting. A year later, the first Gay Pride parade made its way through the streets of Manhattan.",English
Biden announces bipartisan infrastructure deal - German economy minister Altmaier on final US tour - How to build an affordable home with cardboard,English
"Following talks in Washington, German Economics Minister Peter Altmaier told DW he expected to resolve the US-German dispute over Nord Stream 2 by August. Altmaier described the Russian pipeline as ""crucially important.""",English
"Britney Spears delivers shocking testimony about her life under court-appointed guradianship of her father for the last 13 years. Entertainment journalist KJ Mathews tells Brent Goff on The Day that it is ""very hard to believe"" that this would have happened to a big star like Britney if ""she were not a woman"".",English
"Over the past 10 years, Laila Haidari has been fighting to help drug addicts in Afghanistan's capital Kabul ― without government or international funding. Now that international troops are departing, she fears for her freedoms.",English
"For years, many Afghans worked closely with US troops on the ground. The US troop withdrawal now leaves them in limbo. Thousands of former contractors and interpreters now fear for their lives, with the Taliban regaining control of several districts. ",English
"EU leaders gathered in Brussels for a meeting overshadowed by a Hungarian law that critics call anti-LGBTQ. In addition, France and Germany are proposing a summit between the EU and Russia, inspired by the recent Biden/Putin meeting.",English
New Icelandic airline Play launches first flights - South African businesses struggle to get bank loans - IMF approves $407m in support for Kenya,English
Ethiopia elections update +++ COVID third wave in Uganda +++SADC military intervention in Mozambique +++ EU sanctions on Burundi lifted +++ Should voting be compulsory? +++ Zimbabwe's judicial system in focus,English
"By combining art with daily life, the artists of Mathildenhöhe paved the way for modernism some 120 years ago. Join Check-in host Nicole Fröhlich on a tour of the stunning location that housed their former colony.",English
"Belarusian opposition leader Sviatlana Tsikhanouskaya speaks to DW about how her husband, Belarusian video blogger Syarhey Tsikhanouski, is among six people facing a range of charges including inciting social hatred and organizing mass disorder.",English
"On this week's Eco Africa, we discover how Andean animals improve soil in South Africa, learn how printing a 3D beehive can help the little pollinators survive and get our hands dirty with vertical farming.",English
"An organic pear farm in South Africa uses alpacas to trim the grass and make fertilizer. The animals, which are usually found high in the Andes, may be a strange sight but they are proving their worth far from home.",English
"Extreme E is a race for small electric-powered SUVs and it has come to Senegal. There it is showing off some of the most extreme regions in the world and bringing attention to drought, deforestation and emissions.",English
Should employers be allowed to sack people who refuse to get inoculated against the coronavirus? DW's Ben Fajzullin discusses this with two people who are holding contrarian views on the issue.,English
"A startup in Berlin has come up with a new type of beehive that can protect the tiny pollinators inside from Varroa mites. The trick is creating a climate that the bees like, but the mites don't.",English
"No, you're not alone. As the world re-opens, hundreds of millions of people are feeling completely overwhelmed at the idea of 'going back to the way things were before.' This feeling (which is absolutely normal) is called 'reentry anxiety.' And there are concrete things you can do to make it go away.",English
"In Kenya, a group is training women and young people in vertical farming, since prolonged dry seasons and a lack of proper storage for produce are making traditional methods more difficult.",English
It's hard to make a living as a shepherd or farmer in the mountains of northeastern Albania. But an NGO is devoted to environmental protection and helping families find sustainable livelihoods to stop the young leaving.,English
"German business confidence has hit its highest level since the end of 2018 as the economic recovery is gaining momentum. After exports, domestic business activity is rebounding, says Clemens Fuest from the ifo Institute.",English
"High in the Andes mountains, mining companies are gearing up for the massive extraction of lithium -- the raw material of the future. Lithium batteries are used to power the electric vehicles that will play a key role in the new energy revolution.",English
"In a remote and dry corner of Pakistan near the Indian border, a wildlife sanctuary has protected a complex ecosystem for migratory birds. This is where conservationists have made special efforts to save peafowl.",English
"Indonesia’s lucrative tin mines have moved offshore, threatening the area's rich fishing grounds. Activists are trying to keep the mines from moving out to sea. But in a place where well-paid jobs are hard to find, the mines have their supporters.",English
Taiwan’s success in containing the virus and the insistence on developing domestic vaccine might have delayed its vaccine acquisition strategy.,English
"Oil is big business. It's an industry that employs an estimated 6 million people from Russia to Saudi Arabia to the US. But oil is a leading contributor to climate change and can lead to leaks and spills that pollute waterways and ecosystems. As the world gets more serious about shifting away from fossil fuels, the future for oil looks tenuous.",English
The pro-democracy newspaper Apple Daily is closing down after constant harassment from authorities. The paper's closure is seen as the silencing of one of the last pro-democracy voices in Hong Kong.,English
The marine mammal got stranded at Lumley Beach in Sierra Leone's capital. Many people from around Freetown capital came to watch the stranded whale. A tractor eventually helped move the mid-sized humpback back into the sea.,English
"Check out some of the top speakers that participated in the DW Global Media Forum 2021. We we honored to welcome these renowned voices from around the world to discuss ""Disruption and Innovation"".",English
An airstrike on a market in Ethiopia’s northern Tigray region has killed at least 50 people. There have been reports that medical teams were prevented from traveling to the scene.,English
"We know that obesity can lead to severe COVID-19 complications, as can high blood pressure or diabetes. So is our diet our destiny?",English
The 'nicotine hypothesis' made headlines when a couple of studies suggested an active chemical in tobacco could help protect against Covid-19. ,English
"With the delta variant of the coronavirus rampant in many countries, scientists around the world say they are concerned. How should we respond?
Guests: Tobias Kurth (epidemiologist), Benjamin Alvarez (DW), Ankita Mukhopadhyay (DW)",English
"Water is fundamental to life. Despite this basic need, almost half of the world's population experience water shortages or drought. We look at ideas to use water sustainably.",English
"Fresh, clean water from the tap is far from the norm in many countries. In India, many residents rely on water tanks for their daily needs. A company in Delhi is converting sewage water into drinking water. But barriers to acceptance are high.",English
City trees lower temperatures and improve air quality. But climate change poses a threat to them. A project at Berlin's CityLab has created a website showing residents which trees need water so they can help.,English
"Around the world, approximately one million plastic bottles are bought every minute. Disposing of them is one of the biggest environmental challenges humans face. But has Germany found a sustainable solution?",English
Water tanks have historically been a way to deal with water shortages in parts of India's Tamil Nadu state. But rapid urbanization has destroyed some. An organization is working with residents to restore and maintain the ancient tanks.,English
"With the delta variant of the coronavirus rampant in many countries, scientists around the world say they are concerned. How should we respond? Our guests: Tobias Kurth (epidemiologist), Benjamin Alvarez (DW), Ankita Mukhopadhyay (DW)",English
Jab vs Job - Costly Recovery,English
More than 150 staff at a Texas hospital have either quit or been fired after refusing to get vaccinated against COVID-19.,English
"Although protesting is serious business, a lighter side can also be found among the most arresting photographs of the past day. From Hong Kong to Afghanistan to the West Bank, have a look through the day in pictures.",English
"Cyclones Idai, Chalane and Eloise caused severe damage to schools in Beira, destroying about 1,000 classrooms. The municipality is now using repurposed buses, or ""machimbombos"", as classrooms. Five of them are in a Beira elementary school. ",English
"After months of pandemic restrictions, Berlin's culture scene is back. Warm temperatures and a decline in Covid cases are making to possible.",English
"The coronavirus has spread around the world. But international travel restrictions have not been lifted. Professor Dirk Brockmann, an epidemiologist at Berlin's Humboldt University, explains the effects of virus mutations on the pandemic.",English
